jd_file,overall_score,semantic_similarity,skill_overlap,experience_alignment,education_match,keyword_coverage,missing_skills
job1.docx,0.3703,0.4034,0.25,0.1806,1.0,0.1374,api;system design
job10.docx,0.3031,0.1769,0.4,0.2556,0.7,0.0798,
job2.docx,0.3719,0.426,0.2308,0.1709,1.0,0.1317,api;linux;testing
job3.docx,0.3434,0.3382,0.25,0.1806,1.0,0.1205,aml;testing
job4.docx,0.2501,0.269,0.1818,0.0909,0.7,0.087,system design
job5.docx,0.273,0.3539,0.1538,0.0769,0.7,0.0741,rest;testing;valuation
job6.docx,0.3754,0.4404,0.2308,0.1709,1.0,0.0881,api;rest;testing
job7.docx,0.4396,0.37,0.4545,0.3384,1.0,0.0892,rest
job8.docx,0.404,0.45,0.2727,0.2475,1.0,0.1012,aml
job9.docx,0.2891,0.2743,0.2,0.1,1.0,0.0887,
